study ID,method 2,h2,SE of h2
69,parent-offspring regression,0.89,0.15
69,parent-offspring regression,0.89,0.1
69,parent-offspring regression,0.31,0.2
69,parent-offspring regression,0.4,0.15
69,parent-offspring regression,0.41,0.08
69,parent-offspring regression,0.52,0.13
69,parent-offspring regression,0.53,0.17
69,parent-offspring regression,0.54,0.2
69,grandparent-offspring regression,0.73,0.29
69,grandparent-offspring regression,0.78,0.38
69,parent-offspring regression,0.78,0.24
69,parent-offspring regression,0.26,0.33
69,parent-offspring regression,0.28,0.19
69,parent-offspring regression,0.31,0.24
69,parent-offspring regression,0.45,0.09
69,parent-offspring regression,0.46,0.17
69,parent-offspring regression,0.58,0.14
69,parent-offspring regression,0.3,0.17
69,parent-offspring regression,0.43,0.1
69,parent-offspring regression,0.71,0.18
69,parent-offspring regression,0.51,0.18
69,parent-offspring regression,0.51,0.12
69,parent-offspring regression,0.67,0.2
69,parent-offspring regression,0.5,0.16
69,parent-offspring regression,0.55,0.1
69,parent-offspring regression,0.69,0.15
69,parent-offspring regression,0.53,0.09
69,parent-offspring regression,0.57,0.14
69,parent-offspring regression,0.58,0.16
69,parent-offspring regression,0.42,0.17
69,parent-offspring regression,0.5,0.13
69,parent-offspring regression,0.5,0.1
69,parent-offspring regression,0.34,0.18
69,parent-offspring regression,0.58,0.09
69,parent-offspring regression,0.62,0.11
70,parent-offspring regression,0.888,
70,parent-offspring regression,0.932,
71,animal model,0.066,
71,animal model,0.064,0.03
71,animal model,0.124,0.115
72,animal model,0.598,0.24
73,animal model,0.02,0.06
73,animal model,0.096,0.16
73,animal model,0.084,0.076
73,animal model,0.372,0.168
73,animal model,0.524,0.218
73,animal model,0.072,0.144
73,animal model,0.006,0.086
73,animal model,0.112,0.067
73,animal model,0.25,0.071
73,animal model,0.601,0.117
73,animal model,0.293,0.12
73,animal model,0.194,0.3
73,animal model,0.461,0.15
73,animal model,0,0.003
73,animal model,0,0.001
73,animal model,0,0.001
73,animal model,0,0.054
73,animal model,0,0.056
74,animal model,0.329,0.12
75,animal model,0.02,0.15
75,animal model,0.22,0.05
75,animal model,0.22,0.16
75,animal model,0.23,0.09
75,animal model,0.18,0.12
76,parent-offspring regression,0.31,0.17
76,parent-offspring regression,0.31,0.27
76,parent-offspring regression,0.67,0.27
76,full-sib,0.69,0.35
76,parent-offspring regression,0.55,0.13
76,full-sib,0.57,0.31
76,parent-offspring regression,0.6,0.1
76,parent-offspring regression,0.64,0.18
76,parent-offspring regression,0.07,0.26
76,parent-offspring regression,0.14,0.23
76,parent-offspring regression,0.41,0.33
76,full-sib,0.71,0.55
76,parent-offspring regression,0.28,0.3
76,parent-offspring regression,0.44,0.2
76,parent-offspring regression,0.77,0.28
76,full-sib,0.92,0.31
76,parent-offspring regression,0.44,0.11
76,parent-offspring regression,0.5,0.17
76,parent-offspring regression,0.51,0.16
76,full-sib,0.52,0.31
76,parent-offspring regression,0.07,0.26
76,parent-offspring regression,0.1,0.21
76,parent-offspring regression,0.36,0.33
76,full-sib,0,
76,parent-offspring regression,0.34,0.31
76,parent-offspring regression,0.49,0.22
76,parent-offspring regression,1.13,0.32
76,full-sib,1.3,0.24
76,parent-offspring regression,0.56,0.11
76,parent-offspring regression,0.56,0.16
76,parent-offspring regression,0.73,0.16
76,full-sib,0.84,0.28
76,parent-offspring regression,0.1,0.23
76,parent-offspring regression,0.16,0.32
76,parent-offspring regression,0.22,0.28
76,full-sib,0,
76,parent-offspring regression,0.41,0.36
76,parent-offspring regression,0.67,0.24
76,parent-offspring regression,1.24,0.36
76,full-sib,1.41,0.21
76,parent-offspring regression,0.45,0.19
76,parent-offspring regression,0.53,0.14
76,parent-offspring regression,0.73,0.2
76,full-sib,1.35,0.2
76,parent-offspring regression,0.16,0.29
76,parent-offspring regression,0.19,0.29
76,parent-offspring regression,0.28,0.35
76,full-sib,0,
77,full-sib,0.12,0.2
77,parent-offspring regression,0.18,0.08
77,parent-offspring regression,0.22,0.11
77,full-sib,0.23,0.44
77,parent-offspring regression,0.23,0.11
77,parent-offspring regression,0.23,0.08
77,parent-offspring regression,0.23,0.11
77,parent-offspring regression,0.29,0.11
77,parent-offspring regression,0.32,0.2
77,parent-offspring regression,0.33,0.14
77,parent-offspring regression,0.38,0.18
77,full-sib,0.86,0.26
78,parent-offspring regression,0.22,0.2
78,parent-offspring regression,0.39,0.16
78,parent-offspring regression,0.44,0.12
78,full-sib,0.48,0.27
78,parent-offspring regression,0.5,0.13
78,parent-offspring regression,0.51,0.1
78,parent-offspring regression,0.52,0.15
78,parent-offspring regression,0.54,0.13
78,parent-offspring regression,0.61,0.16
78,parent-offspring regression,0.79,0.19
78,parent-offspring regression,0.28,0.21
78,parent-offspring regression,0.36,0.13
78,parent-offspring regression,0.41,0.11
78,parent-offspring regression,0.41,0.15
78,parent-offspring regression,0.43,0.15
78,parent-offspring regression,0.44,0.19
78,full-sib,0.46,0.27
78,parent-offspring regression,0.51,0.19
78,parent-offspring regression,0.57,0.15
78,parent-offspring regression,0.59,0.19
78,parent-offspring regression,0.67,0.27
78,parent-offspring regression,0.4,0.19
78,parent-offspring regression,0.46,0.13
78,parent-offspring regression,0.48,0.15
78,parent-offspring regression,0.51,0.19
78,parent-offspring regression,0.54,0.11
78,parent-offspring regression,0.57,0.21
78,parent-offspring regression,0.58,0.15
78,parent-offspring regression,0.79,0.17
78,full-sib,0.86,0.24
78,parent-offspring regression,0.96,0.21
78,parent-offspring regression,0.32,0.22
78,parent-offspring regression,0.35,0.18
78,parent-offspring regression,0.37,0.22
78,parent-offspring regression,0.47,0.19
78,parent-offspring regression,0.58,0.16
78,parent-offspring regression,0.58,0.14
78,parent-offspring regression,0.65,0.26
78,parent-offspring regression,0.91,0.19
78,parent-offspring regression,1.04,0.24
78,full-sib,1.28,0.17
79,full-sib,0.27,0.43
79,parent-offspring regression,0.53,0.16
79,full-sib,1.22,0.19
79,parent-offspring regression,0.88,0.11
79,full-sib,0.79,0.29
79,parent-offspring regression,0.67,0.14
79,parent-offspring regression,0.67,0.13
79,parent-offspring regression,0.71,0.12
79,parent-offspring regression,0.46,0.09
79,parent-offspring regression,0.39,0.15
79,parent-offspring regression,0.7,0.07
79,parent-offspring regression,0.38,0.1
80,parent-offspring regression,0.43,0.21
80,parent-offspring regression,0.16,0.18
80,parent-offspring regression,0.28,0.22
80,parent-offspring regression,0.24,0.18
80,parent-offspring regression,0.44,0.22
80,parent-offspring regression,0.21,0.27
81,animal model,0.087,0.067
81,animal model,0.106,0.065
81,animal model,0.08,0.07
81,animal model,0.177,0.093
81,animal model,0.066,0.065
81,animal model,0.112,0.068
81,animal model,0.017,0.05
81,animal model,0.078,0.058
