"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"219",0,0.078125,0.1875,1,-0.00361112741103219,-0.0200879142906419,1212,51,13,28,162,353
"220",0,0.0400390625,0.3125,1,-0.00361112741103219,-0.0200879142906419,1223,22,13,28,67,252
"221",0,0.0400390625,0.3125,1,-0.00361112741103219,-0.0200879142906419,1244,22,13,28,67,252
"222",0,0.0400390625,0.3125,1,-0.00361112741103219,-0.0200879142906419,1255,22,13,28,67,252
"223",0,0.0400390625,0.3125,1,-0.000193171662817315,-0.0202311406180255,1266,22,14,28,68,253
"224",0,0.0400390625,0.3125,1,-0.000193171662817315,-0.0202311406180255,1277,22,14,28,68,253
"225",0,0.03759765625,0.3125,1,-0.000193171662817315,-0.0202311406180255,1288,23,14,28,69,261
"226",0,0,0,0,-0.0138649946556768,-0.0122917333119508,1333,51,10,28,158,350
"227",0,0,0,0,-0.0104470389074619,-0.0161182106376045,1335,51,11,28,159,351
"228",0,0,0,1,-0.00702908315924706,-0.0187169376305016,1336,51,12,28,161,352
"229",0,0.03759765625,0.3125,0,-0.000193171662817315,-0.0202311406180255,1343,23,14,28,69,261
"230",0,0,0,0,-0.0412086406413958,0.0625190972725211,1395,25,2,2,355,263
"231",16,0,0,0,-0.0412086406413958,0.0625190972725211,1406,25,2,2,354,263
"232",76,0,0,0,-0.0412086406413958,0.0625190972725211,1417,25,2,2,354,263
"233",0,0,0,1,-0.0412086406413958,0.0625190972725211,1473,25,2,2,355,263
"234",0,0,0,1,-0.0412086406413958,0.0625190972725211,1484,25,2,2,355,263
"235",0,0,0,1,-0.0412086406413958,0.0625190972725211,1495,25,2,2,355,263
"236",0,0,0,1,-0.0412086406413958,0.0625190972725211,1506,25,2,2,355,263
"237",0,0,0,1,-0.0412086406413958,0.0625190972725211,1517,25,2,2,354,263
"238",0,0,0,1,-0.0412086406413958,0.0625190972725211,1528,25,2,2,354,263
"239",0,0,0,1,-0.0412086406413958,0.0625190972725211,1539,25,2,2,356,263
"240",0,0,0,1,-0.0412086406413958,0.0625190972725211,1550,25,2,2,356,263
"241",0,0,0,1,-0.0412086406413958,0.0625190972725211,1561,25,2,2,356,263
"242",0,0,0,1,-0.0412086406413958,0.0625190972725211,1572,25,2,2,356,263
"243",0,0,0,1,-0.0377906848931809,0.0488706172848136,1597,25,3,2,357,264
"244",0,0,0,0,-0.0377906848931809,0.0488706172848136,1602,25,3,2,357,264
"245",0,0,0.5,0,-0.0172829504038917,-0.00723750565354033,1666,29,9,4,98,289
"246",0,0,0.125,0,-0.0138649946556768,-0.0122917333119508,1677,119,10,4,307,51
"247",0,0,0.625,0,-0.0138649946556768,-0.0122917333119508,1683,119,10,4,307,51
"248",0,0,0.625,0,-0.0138649946556768,-0.0122917333119508,1693,119,10,4,307,51
